term,coef
relm,0.45746215172599936
31 2014,0.45129355522289266
2014,0.43882955754303965
spansion,0.4027282696112905
2018,0.38726349581191205
31,0.3871059554735642
worlds,0.36991090212015343
fab 36,0.3629374055810073
fab,0.35826192225910974
2014 2013,0.3493838214016043
december 31,0.29491045143759037
adage,0.26471730292724666
2010,0.2612137320289254
3d,0.24649725708379486
31 2004,0.24039869499145566
crude oil,0.2276545518296322
31 2016,0.22349783135979023
arec,0.22088814227263584
fiscal,0.21642611350153976
1998,0.2147396830518635
31 2010,0.20822549081125624
year,0.20587907837528222
2007,0.20548649953666004
31 2019,0.2024853898199877
approximately,0.20158777197570538
amd fab,0.20005851284940063
crude,0.1991900533713193
31 2018,0.19404618372207955
2008 2007,0.18577583500737216
fasl llc,0.1849064952154828
